logic_name,ic_mean_hp1,ic_pos_ratio_hp1,ic_mean_hp3,ic_pos_ratio_hp3,ic_mean_hp5,ic_pos_ratio_hp5,robust_pass
earnings_gap_strength,0.01645427718525478,0.625,0.021737617809707697,0.75,0.020196636216567358,0.875,1
smallcap_seasonality_proxy,0.006030297158270987,0.6666666666666666,0.014608832084208104,0.6666666666666666,0.014810156430316714,0.8888888888888888,1
fcf_yield_ttm,0.010465497827511395,1.0,0.01183905314908734,0.8888888888888888,0.011358576393888814,0.8888888888888888,1
shareholder_yield,0.007247252117247287,1.0,0.010697908433285323,0.8888888888888888,0.012596695071705173,0.8888888888888888,1
ebitda_ev_yield,0.008980022320072703,0.8888888888888888,0.009332681928407702,0.8888888888888888,0.00986609083358151,0.8888888888888888,1
ownership_dispersion_proxy,0.004517271339553874,0.7777777777777778,0.008565436485739968,0.8888888888888888,0.008180598528406812,0.8888888888888888,1
nwc_change_inverse,0.0042869444764095785,0.6666666666666666,0.008099025154898248,0.7777777777777778,0.009618338294870458,0.6666666666666666,1
trend_regime_switch,0.004697008857989918,0.7777777777777778,0.007897526452127396,0.8888888888888888,0.016965457709364137,0.8888888888888888,1
ocf_yield_ttm,0.009317803988643592,0.8888888888888888,0.007727106363943419,0.8888888888888888,0.011149146389811886,0.8888888888888888,1
gap_fill_propensity,0.012281805644813957,0.8888888888888888,0.007392994498919735,0.7777777777777778,0.004359072156845167,0.7777777777777778,1
failed_breakout_reversal,0.0065825073002203005,0.8888888888888888,0.006305226020591467,0.8888888888888888,0.002862144855139752,0.7777777777777778,1
risk_on_off_breadth,0.003805732565389075,0.6666666666666666,0.005713791650258827,0.7777777777777778,0.0032845125583979224,0.5555555555555556,1
ownership_acceleration,0.0026508065931187606,0.5555555555555556,0.005485218354074905,0.7777777777777778,0.005931025820091631,0.6666666666666666,1
value_rerating_trend,0.0049215999808208235,0.7777777777777778,0.004970842480242661,0.8888888888888888,0.00986199244198998,0.8888888888888888,1
large_gap_reversal,0.009440925118189227,0.8888888888888888,0.0034448572827229535,0.7777777777777778,0.004446583442977059,0.7777777777777778,1
fcf_growth_persistence,0.0026202706820848414,0.6666666666666666,0.0032406698580111763,0.7777777777777778,0.00459567039487239,0.8888888888888888,1
liquidity_regime_switch,0.003969944830079633,0.7777777777777778,0.0019061064156499115,0.7777777777777778,0.003579986514642681,0.7777777777777778,1
skew_reversal,0.006470507257988121,0.6666666666666666,0.004627207556260256,0.7777777777777778,-0.0017663325734425762,0.6666666666666666,0
accruals_inverse,-0.0007748684746847722,0.5555555555555556,0.0028581665577489482,0.7777777777777778,0.0017553030082529085,0.7777777777777778,0
compression_reversal,0.0051900600147829394,0.5555555555555556,0.002826132843066939,0.8888888888888888,-0.0010610512103425415,0.6666666666666666,0
