batch_id,batch_phase,batch_status,candidate_id,factor_family,logic_formula,params_json,data_tier,data_source,result_ic_mean,result_ic_std,result_sharpe_mean,result_win_rate_mean,result_valid_segments,result_total_segments,result_status,result_run_dir,note
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_026,logic100_026,+1.00*pead_short_window,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_027,logic100_027,+1.00*institutional_ownership_change,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_028,logic100_028,+1.00*institutional_breadth_change,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_029,logic100_029,+1.00*owner_earnings_yield_proxy,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_030,logic100_030,+0.50*momentum +0.50*reversal,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_031,logic100_031,+0.50*low_vol +0.50*momentum,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_032,logic100_032,+0.50*momentum -0.50*size,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_033,logic100_033,+0.50*momentum +0.50*turnover_shock,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_034,logic100_034,+0.50*momentum +0.50*vol_regime,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_035,logic100_035,+0.50*momentum +0.50*quality_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_036,logic100_036,+0.50*momentum +0.50*quality_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_037,logic100_037,+0.50*momentum +0.50*quality_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_038,logic100_038,+0.50*momentum +0.50*quality_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_039,logic100_039,+0.50*momentum -0.50*quality_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_040,logic100_040,+0.50*momentum +0.50*value_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_041,logic100_041,+0.50*momentum +0.50*value_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_042,logic100_042,+0.50*momentum +0.50*value_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_043,logic100_043,+0.50*momentum +0.50*quality_metric_trend,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_044,logic100_044,+0.50*momentum +0.50*quality_metric_trend,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_045,logic100_045,+0.50*momentum +0.50*quality_metric_trend,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_046,logic100_046,+0.50*momentum +0.50*quality_metric_trend,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_047,logic100_047,+0.50*momentum -0.50*quality_metric_trend,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_048,logic100_048,+0.50*momentum +0.50*value_metric_trend,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_049,logic100_049,+0.50*low_vol +0.50*reversal,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_050,logic100_050,+0.50*reversal -0.50*size,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_051,logic100_051,+0.50*reversal +0.50*turnover_shock,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_052,logic100_052,+0.50*reversal +0.50*vol_regime,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_053,logic100_053,+0.50*quality_component +0.50*reversal,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_054,logic100_054,+0.50*quality_component +0.50*reversal,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_055,logic100_055,+0.50*quality_component +0.50*reversal,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_056,logic100_056,+0.50*quality_component +0.50*reversal,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_057,logic100_057,-0.50*quality_component +0.50*reversal,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_058,logic100_058,+0.50*reversal +0.50*value_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_059,logic100_059,+0.50*reversal +0.50*value_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_060,logic100_060,+0.50*reversal +0.50*value_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_061,logic100_061,+0.50*quality_metric_trend +0.50*reversal,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_062,logic100_062,+0.50*quality_metric_trend +0.50*reversal,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_063,logic100_063,+0.50*quality_metric_trend +0.50*reversal,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_064,logic100_064,+0.50*quality_metric_trend +0.50*reversal,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_065,logic100_065,-0.50*quality_metric_trend +0.50*reversal,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_066,logic100_066,+0.50*reversal +0.50*value_metric_trend,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_067,logic100_067,+0.50*low_vol -0.50*size,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_068,logic100_068,+0.50*low_vol +0.50*turnover_shock,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_069,logic100_069,+0.50*low_vol +0.50*vol_regime,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_070,logic100_070,+0.50*low_vol +0.50*quality_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_071,logic100_071,+0.50*low_vol +0.50*quality_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_072,logic100_072,+0.50*low_vol +0.50*quality_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_073,logic100_073,+0.50*low_vol +0.50*quality_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_074,logic100_074,+0.50*low_vol -0.50*quality_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_075,logic100_075,+0.50*low_vol +0.50*value_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_076,logic100_076,+0.50*low_vol +0.50*value_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
