decile,count,signal_mean,signal_std
D1,147,1.5449287847045539,0.5279940935130224
D2,146,0.7780291534915027,0.10393939627744349
D3,147,0.4758649512482682,0.07123739110832303
D4,147,0.2741895582941517,0.046867820337871985
D5,147,0.1289638102213714,0.04406263862879121
D6,146,-0.031266518662675304,0.04749897449499342
D7,147,-0.1889921017560232,0.04392271823124801
D8,147,-0.37882086097755274,0.0645793583518207
D9,146,-0.6331468968303867,0.09354543805467194
D10,147,-1.9689769835563498,1.3847545284292222
