symbol,date,signal,score,rank,decile
CNXC,2026-02-17,-5.1692819860558465,-5.1692819860558465,1457,D10
HLNE,2026-02-17,-5.2537101894889,-5.2537101894889,1458,D10
GT,2026-02-17,-5.314637323129681,-5.314637323129681,1459,D10
ALMS,2026-02-17,-5.332015762472784,-5.332015762472784,1460,D10
CE,2026-02-17,-5.392856545434423,-5.392856545434423,1461,D10
UWMC,2026-02-17,-5.482661055589798,-5.482661055589798,1462,D10
COHR,2026-02-17,-5.501278371238705,-5.501278371238705,1463,D10
TAP,2026-02-17,-5.5408103438857035,-5.5408103438857035,1464,D10
BMNR,2026-02-17,-5.643140215272279,-5.643140215272279,1465,D10
BHF,2026-02-17,-5.820572229748763,-5.820572229748763,1466,D10
SATS,2026-02-17,-6.064089707331669,-6.064089707331669,1467,D10
