symbol,score,rank,price_signal,price_trade,ret_1d,matched
BLKB,3.3338123728116473,1,,,-0.0038376085639264,True
KVYO,3.0647896285985645,2,,,-0.0043907793633368,True
JEF,2.804797454576351,3,,,-0.013365509560052,True
WDC,2.7720032680618316,4,,,-0.0400930671702184,True
CELC,2.7713203738617627,5,,,0.0101220319742691,True
PACS,2.6898593564325113,6,,,-0.0084680523479598,True
BIO,2.6549011490876673,7,,,0.0045442790113421,True
SNDK,2.6297823703312035,8,,,0.03446035976016,True
DOCN,2.562263597167234,9,,,-0.0098751089166423,True
BE,2.5175327912768823,10,,,0.011000190754753,True
VFC,2.5163173905092737,11,,,0.0062862669245646,True
GM,2.4826635857814208,12,,,-0.0262937731564479,True
TSLA,2.447390230994018,13,,,0.0009481668773703,True
COLM,2.4222306200782073,14,,,-0.0258245177349097,True
GT,2.409791946510996,15,,,-0.0134983127109112,True
IDYA,2.391118864193573,16,,,0.0640362225097024,True
DXC,2.3898307773667695,17,,,-0.0162241887905605,True
ARWR,2.342525509286834,18,,,-0.0080770425598011,True
ONDS,2.2301269875090384,19,,,0.028906955736224,True
VSAT,2.215192361453697,20,,,-0.0028279312595169,True
SON,2.1995843474399455,21,,,-0.0270692347735554,True
VICR,2.1812254774460453,22,,,-0.0178009125377547,True
FG,2.1473964444850475,23,,,-0.0385550538381381,True
MU,2.122939562703414,24,,,-0.0085520845706139,True
LCII,2.110523270715021,25,,,-0.0510569105691056,True
SPG,2.0961351730865063,26,,,0.0004508340429796,True
APLS,2.090247637808004,27,,,0.0270270270270271,True
SOLV,2.0763274192455605,28,,,-0.0173541583233213,True
EXE,2.0685075304758396,29,,,0.0435088424437299,True
COMM,2.0248245409239134,30,,,,False
CWEN,2.0242238260756142,31,,,-0.0253857640617223,True
PL,1.971520030429006,32,,,0.0577085088458297,True
TERN,1.9628395634109097,33,,,0.0025412960609911,True
VISN,1.937746079311236,34,,,-0.0195663670015865,True
JXN,1.86199655769891,35,,,-0.0272812793979304,True
CIFR,1.8606704293305636,36,,,0.0246433203631648,True
MSGE,1.804019311272804,37,,,-0.0184954926950575,True
MATX,1.7726539735170748,38,,,-0.0168388368065921,True
VIRT,1.7524520235298169,39,,,0.0002540650406503,True
CVI,1.71172308692418,40,,,-0.0344364937388192,True
GNW,1.6618635651576457,41,,,-0.0090293453724604,True
DBD,1.657688360194151,42,,,0.004833312678151,True
FOLD,1.633378137183461,43,,,0.0006973500697349,True
SPHR,1.6256293495155008,44,,,0.0004338771259979,True
AD,1.6124120014359522,45,,,0.0138972809667674,True
AEO,1.6078690274964609,46,,,-0.0047865975269246,True
AGNC,1.6050045697752435,47,,,0.0008841732979663,True
GSAT,1.5998637719997202,48,,,0.0006778512116589,True
APLD,1.5903592947362926,49,,,-0.0119084926355373,True
ERAS,1.5462443919108833,50,,,-0.0213270142180094,True
WU,1.5239821277326366,51,,,-0.0217616580310882,True
COMP,1.5213471493896862,52,,,-0.002868068833652,True
CRBG,1.4963579608743334,53,,,-0.0309378021269739,True
RL,1.4806264416576456,54,,,-0.0032797291578502,True
INSW,1.4575914983981957,55,,,0.0253939115802355,True
ARLP,1.4516756917680025,56,,,0.000386249517188,True
ALHC,1.4342568700759133,57,,,0.0160897123354459,True
AMKR,1.4256065917941307,58,,,0.0342319212665811,True
BC,1.424437358953394,59,,,-0.0270118807442276,True
CSGS,1.4213890440007555,60,,,-0.0005019450370183,True
NLY,1.418543005275192,61,,,-0.0008695652173912,True
AA,1.4171910025621353,62,,,-0.0086364391297126,True
LITE,1.3946201734550223,63,,,0.0696328206508936,True
CVS,1.386805308278025,64,,,-0.0055305466237942,True
LQDA,1.3867155960652735,65,,,0.0025743707093819,True
BLTE,1.37257652680807,66,,,0.0336955896728192,True
TTMI,1.3717756805195611,67,,,0.0683196764924976,True
CENX,1.364024472368069,68,,,0.0454002389486261,True
SYF,1.356865638136822,69,,,-0.0080988332189428,True
NGVT,1.3552246913804769,70,,,-0.0240882788319204,True
BXP,1.3489972439947775,71,,,0.0108854589764419,True
TNL,1.3374727381660043,72,,,0.0003979307600476,True
SCCO,1.3118348064529646,73,,,0.0073185923388352,True
HUT,1.3066940522283363,74,,,0.0231256993659083,True
AMG,1.304569412366333,75,,,-0.0257596371882086,True
PSX,1.2990188179256636,76,,,-0.0126429479034307,True
NATL,1.297539002044923,77,,,0.0076354092102124,True
WBD,1.2949079124807563,78,,,-0.0090309135116358,True
AL,1.290436351845752,79,,,0.0,True
TRN,1.287924653714558,80,,,-0.0040828229804608,True
BBT,1.2792666123832634,81,,,0.0003238341968911,True
TDC,1.2754055577387462,82,,,-0.0210301737275222,True
ENS,1.2716742946546815,83,,,0.0051150895140665,True
BTSG,1.260735738384607,84,,,-0.008505467800729,True
LGND,1.2600691009054217,85,,,-0.0190586501000316,True
DAN,1.2582448236001924,86,,,-0.0181190681622088,True
SM,1.252238629005035,87,,,0.0034188034188034,True
MTCH,1.2435095148281132,88,,,0.0135402906208719,True
OPEN,1.2277252083840662,89,,,0.0043196544276458,True
