symbol,ret_1d
BLKB,-0.0038376085639264534
KVYO,-0.004390779363336872
JEF,-0.013365509560052002
WDC,-0.04009306717021843
CELC,0.010122031974269197
PACS,-0.008468052347959887
BIO,0.004544279011342134
SNDK,0.03446035976016004
DOCN,-0.009875108916642339
BE,0.011000190754753003
VFC,0.006286266924564687
GM,-0.026293773156447986
TSLA,0.0009481668773703156
COLM,-0.02582451773490979
GT,-0.013498312710911287
IDYA,0.06403622250970242
DXC,-0.016224188790560534
ARWR,-0.008077042559801129
ONDS,0.028906955736224038
VSAT,-0.0028279312595169692
SON,-0.027069234773555495
VICR,-0.01780091253775473
FG,-0.038555053838138176
MU,-0.00855208457061396
LCII,-0.05105691056910566
SPG,0.0004508340429796309
APLS,0.027027027027027195
SOLV,-0.017354158323321323
EXE,0.04350884244372999
COMM,
CWEN,-0.025385764061722327
PL,0.05770850884582979
TERN,0.0025412960609911828
VISN,-0.019566367001586538
JXN,-0.027281279397930458
CIFR,0.024643320363164856
MSGE,-0.01849549269505757
MATX,-0.01683883680659215
VIRT,0.0002540650406503975
CVI,-0.034436493738819296
GNW,-0.009029345372460473
DBD,0.004833312678151014
FOLD,0.0006973500697349255
SPHR,0.00043387712599796124
AD,0.013897280966767456
AEO,-0.004786597526924674
AGNC,0.0008841732979663064
GSAT,0.0006778512116589752
APLD,-0.011908492635537393
ERAS,-0.02132701421800942
WU,-0.021761658031088205
COMP,-0.002868068833652093
CRBG,-0.030937802126973946
RL,-0.003279729157850242
INSW,0.025393911580235518
ARLP,0.0003862495171880198
ALHC,0.016089712335445983
AMKR,0.034231921266581145
BC,-0.027011880744227668
CSGS,-0.000501945037018392
NLY,-0.0008695652173912327
AA,-0.00863643912971268
LITE,0.0696328206508936
CVS,-0.0055305466237942635
LQDA,0.0025743707093819346
BLTE,0.03369558967281927
TTMI,0.0683196764924976
CENX,0.045400238948626104
SYF,-0.008098833218942891
NGVT,-0.02408827883192044
BXP,0.010885458976441997
TNL,0.00039793076004768224
SCCO,0.00731859233883525
HUT,0.02312569936590836
AMG,-0.025759637188208617
PSX,-0.01264294790343079
NATL,0.0076354092102124405
WBD,-0.009030913511635874
AL,0.0
TRN,-0.00408282298046081
BBT,0.00032383419689119286
TDC,-0.02103017372752225
ENS,0.005115089514066584
BTSG,-0.008505467800729027
LGND,-0.019058650100031604
DAN,-0.018119068162208873
SM,0.0034188034188034067
MTCH,0.01354029062087192
OPEN,0.004319654427645814
PRU,-0.015527652640659473
TER,0.0034305317324185847
LC,0.02156500308071463
APP,0.018818467321150445
TRV,0.004824767137974861
SEB,-0.010678391959798916
PFSI,-0.0180095773474912
LEVI,0.0
EE,0.0031100478468899517
FHI,-0.022297538351765955
MLI,0.01803572954953414
SEE,0.0
PR,0.01245753114382775
RIVN,-0.03467492260061911
GPCR,-0.01301930953774133
APA,0.016427822439706308
UTHR,0.00938976998214458
CIEN,0.023958065346025403
FTAI,0.006337930073826437
GMED,0.008541320022185106
ENVA,-0.02710136177634659
SCI,0.006987771400049914
HII,0.04295229353479724
REAL,-0.02276707530647981
DAL,-0.05161018140908458
FRSH,0.028301886792452935
MKSI,-0.005112637801565789
CDP,0.006981910504601618
RDDT,-0.009019395090194005
APAM,-0.014140938015555049
EIX,0.04246771879483502
INCY,-0.012234197494902288
PAA,0.006319883325230924
DAVE,-0.012903583097967464
TVTX,0.05130965195550763
AMTM,0.037252996436669905
AFL,-0.0075690899489526675
KTOS,0.08702808353050107
PEGA,0.001790510295434089
MDB,-0.019775800809761268
ZM,-0.0017559262510975504
RGEN,-0.006444138729997939
CNO,-0.010687732342007483
ONTO,0.024227272727272764
MGM,-0.019628932508738872
FSLR,-0.022089952634446797
BA,-0.02184740300506427
VCYT,-0.009013930620049071
GEF,-0.010113107119095188
IDCC,-0.0366969939990599
MRK,0.0016439256945586234
UEC,0.0068749999999999645
UUUU,0.029522024367385047
FORM,-0.025348542458808687
HIG,-0.0067251875973382
CC,-0.03498817966903067
LRCX,-0.011245782831438289
RSI,0.0264026402640265
HOLX,-0.0007978723404256094
SNX,0.0009308098045299751
EPAM,-0.17013536883535096
W,-0.13019239177962405
OUT,0.0015841584158415856
AIZ,0.014656349567592208
DINO,-0.021136319565638995
PTEN,0.04039167686658507
HL,0.034968210717529535
INDV,0.002328288707799775
AES,0.0042971147943524635
GBDC,-0.004885993485341911
FIX,0.04096341712960494
SIGI,-0.0035190615835777317
ATRO,0.00753608379103321
THG,0.003725568865707629
WST,-0.017844195601385504
PRI,-0.008778008778008939
PLUS,-0.011348703858559128
POWL,-0.012191977605068294
FTDR,-0.026781025730789443
SLGN,-0.005390835579514808
THO,-0.01897253746859584
TGTX,0.007868628121792787
CMI,0.006593591905564855
HURN,-0.02005687771291731
CALY,0.04299481097108959
DECK,-0.0068971318025066175
EVR,-0.012596665055582434
SHOO,-0.00025536261491310164
UPWK,-0.029861616897305154
WHR,-0.01029615918556226
DDS,-0.006560127008851668
FLNC,-0.04991394148020656
OMCL,0.0005180005180005498
BDX,-0.001149551127654913
ICUI,-0.01246455186968265
