decile,count,signal_mean,signal_std
D1,147,1.523624898342893,0.5304639328543856
D2,146,0.7578038047967611,0.10615577759965933
D3,147,0.4611022339772464,0.06788113959560885
D4,147,0.26112600084907667,0.04364480352777902
D5,147,0.1119137567797756,0.039834812842011055
D6,146,-0.029875397447000466,0.045989342769909465
D7,147,-0.1874235599312988,0.04411174835771669
D8,147,-0.35846104264892764,0.05155262220192211
D9,146,-0.5908617764635649,0.10050715290967653
D10,147,-1.948016492194511,1.4792150540855207
