symbol,score,rank
BLKB,3.3338123728116473,1
KVYO,3.0647896285985645,2
JEF,2.804797454576351,3
WDC,2.7720032680618316,4
CELC,2.7713203738617627,5
PACS,2.6898593564325113,6
BIO,2.6549011490876673,7
SNDK,2.6297823703312035,8
DOCN,2.562263597167234,9
BE,2.5175327912768823,10
VFC,2.5163173905092737,11
GM,2.4826635857814208,12
TSLA,2.447390230994018,13
COLM,2.4222306200782073,14
GT,2.409791946510996,15
IDYA,2.391118864193573,16
DXC,2.3898307773667695,17
ARWR,2.342525509286834,18
ONDS,2.2301269875090384,19
VSAT,2.215192361453697,20
SON,2.1995843474399455,21
VICR,2.1812254774460453,22
FG,2.1473964444850475,23
MU,2.122939562703414,24
LCII,2.110523270715021,25
SPG,2.0961351730865063,26
APLS,2.090247637808004,27
SOLV,2.0763274192455605,28
EXE,2.0685075304758396,29
COMM,2.0248245409239134,30
CWEN,2.0242238260756142,31
PL,1.971520030429006,32
TERN,1.9628395634109097,33
VISN,1.937746079311236,34
JXN,1.86199655769891,35
CIFR,1.8606704293305636,36
MSGE,1.804019311272804,37
MATX,1.7726539735170748,38
VIRT,1.7524520235298169,39
CVI,1.71172308692418,40
GNW,1.6618635651576457,41
DBD,1.657688360194151,42
FOLD,1.633378137183461,43
SPHR,1.6256293495155008,44
AD,1.6124120014359522,45
AEO,1.6078690274964609,46
AGNC,1.6050045697752435,47
GSAT,1.5998637719997202,48
APLD,1.5903592947362926,49
ERAS,1.5462443919108833,50
WU,1.5239821277326366,51
COMP,1.5213471493896862,52
CRBG,1.4963579608743334,53
RL,1.4806264416576456,54
INSW,1.4575914983981957,55
ARLP,1.4516756917680025,56
ALHC,1.4342568700759133,57
AMKR,1.4256065917941307,58
BC,1.424437358953394,59
CSGS,1.4213890440007555,60
NLY,1.418543005275192,61
AA,1.4171910025621353,62
LITE,1.3946201734550223,63
CVS,1.386805308278025,64
LQDA,1.3867155960652735,65
BLTE,1.37257652680807,66
TTMI,1.3717756805195611,67
CENX,1.364024472368069,68
SYF,1.356865638136822,69
NGVT,1.3552246913804769,70
BXP,1.3489972439947775,71
TNL,1.3374727381660043,72
SCCO,1.3118348064529646,73
HUT,1.3066940522283363,74
AMG,1.304569412366333,75
PSX,1.2990188179256636,76
NATL,1.297539002044923,77
WBD,1.2949079124807563,78
AL,1.290436351845752,79
TRN,1.287924653714558,80
BBT,1.2792666123832634,81
TDC,1.2754055577387462,82
ENS,1.2716742946546815,83
BTSG,1.260735738384607,84
LGND,1.2600691009054217,85
DAN,1.2582448236001924,86
SM,1.252238629005035,87
MTCH,1.2435095148281132,88
OPEN,1.2277252083840662,89
PRU,1.224470192982534,90
TER,1.221726122960842,91
LC,1.219404964834666,92
APP,1.2171121408118937,93
TRV,1.21682150134326,94
SEB,1.212653056134515,95
PFSI,1.2123513336904512,96
LEVI,1.2095969365781734,97
EE,1.1971885553756576,98
FHI,1.196004234774455,99
MLI,1.1855047279528037,100
SEE,1.1806815389349654,101
PR,1.172874008000677,102
RIVN,1.167242430308841,103
GPCR,1.1637765816202206,104
APA,1.160843159342315,105
UTHR,1.1534994596487282,106
CIEN,1.1532723377173415,107
FTAI,1.1473444042726446,108
GMED,1.1418321238611813,109
ENVA,1.1401926785935028,110
SCI,1.1373547461735478,111
HII,1.1314169506377258,112
REAL,1.127316759413603,113
DAL,1.124719159398748,114
FRSH,1.1169765125153466,115
MKSI,1.1169754922252817,116
CDP,1.1088932072120323,117
RDDT,1.0997701380516602,118
APAM,1.096964534469673,119
EIX,1.0895455073247329,120
INCY,1.0881574201618704,121
PAA,1.0819428596989291,122
DAVE,1.0785164016412216,123
TVTX,1.0774028275142222,124
AMTM,1.07659421847091,125
AFL,1.0632364935199996,126
KTOS,1.0589785319152183,127
PEGA,1.0499371158879007,128
MDB,1.046242359152474,129
ZM,1.0444732994259551,130
RGEN,1.0378390141185272,131
CNO,1.0298028972479751,132
ONTO,1.026395949379895,133
MGM,1.0111759593084275,134
FSLR,1.011114671693981,135
BA,1.002897637146352,136
VCYT,1.0009833464465343,137
GEF,0.9903336319545886,138
IDCC,0.9823826814363088,139
MRK,0.9796228793742032,140
UEC,0.9727130457197464,141
UUUU,0.9675653904233236,142
FORM,0.9642636162974594,143
HIG,0.9634548853256631,144
CC,0.9632854879942696,145
LRCX,0.9623920791732912,146
RSI,0.9608331670922632,147
HOLX,0.9603768565192004,148
SNX,0.9595997195049047,149
EPAM,0.9574602926984708,150
W,0.9549854270653284,151
OUT,0.9475410687851776,152
AIZ,0.9455514990941372,153
DINO,0.9390467758334248,154
PTEN,0.931527212072602,155
HL,0.9276670601481568,156
INDV,0.9235285428373248,157
AES,0.9177017786701308,158
GBDC,0.9160698701761802,159
FIX,0.9100012680573244,160
SIGI,0.9098595160514934,161
ATRO,0.9073271789568352,162
THG,0.9067619520507504,163
WST,0.905958143003604,164
PRI,0.9044538655379092,165
PLUS,0.900571198629777,166
POWL,0.8988126092063714,167
FTDR,0.8934050302276382,168
SLGN,0.8896897839724907,169
THO,0.8878455100432094,170
TGTX,0.8774576887286026,171
CMI,0.8771674712679012,172
HURN,0.8744593924349631,173
CALY,0.8685214200580421,174
DECK,0.8681935124871798,175
EVR,0.8672824720939915,176
SHOO,0.8618351456364829,177
UPWK,0.860992964565121,178
WHR,0.8605973916548022,179
DDS,0.8563400904590917,180
FLNC,0.8547522437256204,181
OMCL,0.8531317072561015,182
BDX,0.8531120690808012,183
ICUI,0.8507045361893936,184
KRMN,0.8438617047256183,185
CMC,0.8438236731695541,186
UAL,0.8435698012048758,187
KRYS,0.8419445155218871,188
TPR,0.8405928965717148,189
COKE,0.8356259532521659,190
ACI,0.8351053636360499,191
WT,0.8176502225741855,192
RNG,0.8128020457649613,193
M,0.8059273430637751,194
DAR,0.8027243288506952,195
STT,0.8008944511287424,196
HHH,0.8006704216724129,197
CMCSA,0.7928391075575381,198
INSP,0.7923988148112037,199
GS,0.7915239410926943,200
ACMR,0.7908561590100329,201
NXT,0.788574631287732,202
ORI,0.7868722143456324,203
CACI,0.785976772568565,204
WEX,0.7814020739945022,205
AGX,0.7805851086044093,206
FE,0.777204644421685,207
GHC,0.7764407770919572,208
GOOGL,0.7739499953265866,209
WMS,0.7737571067493578,210
CINF,0.7734033181201106,211
GLW,0.7730190760128809,212
PRAX,0.7727535989635749,213
COO,0.7708292881365979,214
SANM,0.7707713882127223,215
ARQT,0.7680735295172607,216
GOOG,0.7663824037343209,217
HAE,0.7627322351642721,218
MRCY,0.76246115118656,219
PHIN,0.7512623367377425,220
ZETA,0.7512316752657361,221
AKAM,0.750773888639796,222
WFRD,0.748699434521784,223
ELV,0.7443589976459938,224
ATI,0.7438728302329924,225
FIBK,0.7410734132001043,226
UNH,0.7406144935339887,227
FRPT,0.7317471257762924,228
NOC,0.7310111035879695,229
MIRM,0.7308768104143523,230
KNX,0.7303036207346113,231
EL,0.7268068744259033,232
LDOS,0.7227048450775777,233
BANC,0.7181098673916864,234
KRC,0.7176957744532186,235
KWR,0.7171295515236094,236
FSK,0.7163266761059779,237
MAT,0.7160812297739552,238
RKLB,0.7146515343001851,239
PAGP,0.709241411589918,240
SWX,0.7090818102793902,241
WCC,0.7052915002629677,242
EAT,0.7022389702363757,243
FROG,0.7016552869448784,244
WK,0.7014273976416987,245
TOL,0.6947700271800961,246
MEDP,0.693568667804096,247
TPB,0.6926006577116842,248
MPLX,0.6854071106879103,249
CECO,0.6776416684067303,250
CTSH,0.6769802771384005,251
PATH,0.6749685338695123,252
ACA,0.6745403787037041,253
BMY,0.673454393009676,254
AEIS,0.6731443703111124,255
DCI,0.673123833057341,256
FAF,0.6719706433183094,257
WRBY,0.6660527891884541,258
SSNC,0.6649879757129418,259
VLY,0.6646887131590112,260
REYN,0.661854550413767,261
CBOE,0.6609777239513368,262
YETI,0.6579211956539325,263
SGI,0.6577609572377128,264
PRIM,0.6570972727350759,265
JOE,0.6570086805859562,266
HAL,0.6551101748916306,267
RVMD,0.6501880962667818,268
RMD,0.6435472691592216,269
MMS,0.6386908384248812,270
YOU,0.637561066181133,271
LUMN,0.6254736865836007,272
BELFB,0.6253723069625046,273
KHC,0.62516892675233,274
ASO,0.6246243990606678,275
TROW,0.6241796342195962,276
