decile,count,mean,std
D1,146,0.01227809416809689,0.02892175786161067
D2,146,0.009183053379455469,0.028036644160057637
D3,146,0.004850595761675644,0.026174335715034063
D4,146,0.008751387710088796,0.022953009174664845
D5,147,0.002945894661975513,0.022750078698250763
D6,146,0.0007610461609842769,0.01829972698276956
D7,146,0.005387399430298136,0.0220715073886285
D8,146,0.007945482781033257,0.02514208513066566
D9,146,0.010002715486771655,0.041143896884525674
D10,147,0.007148337037745463,0.024965038814626434
