decile,count,mean,std
D1,146,0.01227809416809691,0.028921757861610702
D2,146,0.009183053379455483,0.028036644160057664
D3,146,0.004850595761675657,0.026174335715034087
D4,146,0.008751387710088819,0.022953009174664866
D5,147,0.0029458946619755184,0.022750078698250794
D6,146,0.0007610461609842826,0.018299726982769594
D7,146,0.0053873994302981445,0.02207150738862853
D8,146,0.007945482781033273,0.02514208513066569
D9,146,0.01000271548677167,0.0411438968845257
D10,147,0.007148337037745474,0.02496503881462647
